	Unnamed: 0	Unnamed: 0.1	pdb	chain	alpha helix %	helix %	coil %	bridge %	coil %.1	strand %	turn %	radius of gyration	length of chain	percentages	number of chains	label
0	0	0	2gpo	A	0.709821428571	0.0133928571429	0.133928571429	0.0	0.133928571429	0.03125	0.111607142857	302.735087912	224	0.957264957265	2	r
1	1	1	2gpo	B	0.8	0.0	0.2	0.0	0.2	0.0	0.0	26.75444446	10	0.042735042735	2	p
2	2	2	4iw8	A	0.677824267782	0.0125523012552	0.138075313808	0.0	0.138075313808	0.0376569037657	0.133891213389	326.912510783	239	0.485772357724	4	r
3	3	3	4iw8	C	0.7	0.0	0.3	0.0	0.3	0.0	0.0	25.57150226	10	0.020325203252	4	p
4	4	4	4iw8	B	0.695278969957	0.0257510729614	0.141630901288	0.0	0.141630901288	0.0386266094421	0.0987124463519	312.816453417	233	0.473577235772	4	r
5	5	5	4iw8	D	0.7	0.0	0.3	0.0	0.3	0.0	0.0	27.53033589	10	0.020325203252	4	p
6	6	6	2gph	A	0.342028985507	0.0463768115942	0.220289855072	0.0115942028986	0.220289855072	0.127536231884	0.252173913043	431.443105781	345	0.95567867036	2	r
7	7	7	2gph	B	0.3125	0.0	0.6875	0.0	0.6875	0.0	0.0	77.8097215508	16	0.0443213296399	2	p
8	8	8	4bos	A	0.414634146341	0.0182926829268	0.170731707317	0.00609756097561	0.170731707317	0.19512195122	0.19512195122	253.762347574	164	0.338144329897	5	r
9	9	9	4bos	C	0.157894736842	0.0394736842105	0.171052631579	0.0263157894737	0.171052631579	0.315789473684	0.289473684211	134.393429496	76	0.156701030928	5	r
10	10	10	4bos	B	0.414634146341	0.0182926829268	0.146341463415	0.0121951219512	0.146341463415	0.170731707317	0.237804878049	253.758307067	164	0.338144329897	5	r
11	11	11	4bos	E	0.0	0.0	0.428571428571	0.0	0.428571428571	0.0	0.571428571429	25.5542599184	7	0.0144329896907	5	p
12	12	12	4bos	D	0.162162162162	0.0405405405405	0.216216216216	0.027027027027	0.216216216216	0.310810810811	0.243243243243	124.461399326	74	0.152577319588	5	r
13	13	13	4f9m	A	0.666666666667	0.0229885057471	0.0996168582375	0.0	0.0996168582375	0.0498084291188	0.16091954023	344.832469436	261	0.959558823529	2	r
14	14	14	4f9m	B	0.727272727273	0.0	0.272727272727	0.0	0.272727272727	0.0	0.0	31.5212567438	11	0.0404411764706	2	p
15	15	15	4iw6	A	0.685106382979	0.0255319148936	0.140425531915	0.0	0.140425531915	0.0382978723404	0.110638297872	322.466402443	235	0.482546201232	4	r
16	16	16	4iw6	C	0.7	0.0	0.3	0.0	0.3	0.0	0.0	27.36309916	10	0.0205338809035	4	p
